friends_count,followers_count,tidy_tweet,tweet_source,tidy_Location
1413,1340,government good shey nigerians this small african countries even things reach their econom,Android,planet earth 
479,496,what country #wenogetpresident https ifwd tkxf,Android,Lagos Nigeria
3559,4025,dear protesters forgetting this shoprite #wenogetpresident #saynotoxenophobia https ncuarguy,Android,   Ilorin Lagos
244,28,envoy good though makes sense because intellectually sound fuck pres that just https vxgxlqu,Android,Nigeria
477,568,police overwhelmed trying foil protest every shoprite point they have been running ragged points tension,Iphone,Lagos  Nigeria
2979,2787,those think angry nigerians looting destroying outlets properties doing make https vmihd,Android,Lagos
3389,3506,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Android,Lagos   Ibadan Nigeria
1951,1927,people that voted twice tweeting #wenogetpresident,Iphone,Constantine                                                                                           Algeria
170,151,which would prefer burnt dodo like #xenophobiainsouthafrica #saynotoxenophobiaattacks #wenoge,Android,Lagos  Nigeria
695,587,thread boycott dstv simply because premier league download data friendly stre,Android,nigeria  kogi state
753,401,globacom like #wenogetpresident #stopkillingnigeriansinsa #saynotoxenophobia https qcnauux,Iphone,Lagos  Nigeria
1039,421,this part brain left side right side left side there nothing right right,Iphone,Yuh mum
398,170,please take easy with eazi breath #xenophobiainsouthafrica #wenogetpresident https actlwyn,Android,Portharcourt
47,9,buhari only reacts anything that threatens government ipob shite sowore #wenogetpresident,Iphone,
2364,1022,only words best president nigerians ever #wenogetpresiden,Android,PH City 
256,132,meanwhile same that deployed hundred shut down bobrisky harmless birthday struggled contain,Android,Ibadan  Nigeria
14,51,globacom like #wenogetpresident #stopkillingnigeriansinsa #saynotoxenophobia https eizko,Android,Nigeria
4096,5179,clearly nigeria dire need leadership this critical point annals country this further reinfor,Android,
932,5535,guess south africa after their #xenophobicattacks nigerians ring leader #wenogetpresident,Iphone,Abuja NYC
621,77,#xenophobia lady rendered jobless shoprite loot laments https phyno wizkid #wenogetpresident zlatan,Android,Lagos  Nigeria
